Temps (s),Angle (rad)
6.403976,-0.917345055
6.412168,-0.91106187
6.42036,-0.907920277
6.428552,-0.901637092
6.436744,-0.892212314
6.443912,-0.885929128
6.452104,-0.87650435
6.460296,-0.867079572
6.468488,-0.857654794
6.47668,-0.848230016
6.483848,-0.838805239
6.49204,-0.826238868
6.500232,-0.81681409
6.508424,-0.804247719
6.516616,-0.791681349
6.524808,-0.775973385
6.531976,-0.763407015
6.540168,-0.747699052
6.54836,-0.735132681
6.556552,-0.719424718
6.564744,-0.703716754
6.571912,-0.684867198
6.580104,-0.669159235
6.588296,-0.653451272
6.596488,-0.634601716
6.60468,-0.618893753
6.612872,-0.600044197
6.62004,-0.581194641
6.628232,-0.559203492
6.636424,-0.540353936
6.644616,-0.52150438
6.652808,-0.499513232
6.659976,-0.480663676
6.668168,-0.458672527
6.67636,-0.436681379
6.684552,-0.41469023
6.692744,-0.392699082
6.699912,-0.370707933
6.708104,-0.348716785
6.716296,-0.326725636
6.724488,-0.301592895
6.73268,-0.279601746
6.740872,-0.257610598
6.74804,-0.232477856
6.756232,-0.210486708
6.764424,-0.185353967
6.772616,-0.163362818
6.780808,-0.138230077
6.787976,-0.113097336
6.796168,-0.091106187
6.80436,-0.0659734457
6.812552,-0.0439822972
6.820744,-0.0188495559
6.828936,0.00628318531
6.836104,0.0282743339
6.844296,0.0534070751
6.852488,0.0785398163
6.86068,0.100530965
6.868872,0.125663706
6.87604,0.147654855
6.884232,0.172787596
6.892424,0.194778745
6.900616,0.219911486
6.908808,0.241902634
6.915976,0.263893783
6.924168,0.289026524
6.93236,0.311017673
6.940552,0.333008821
6.948744,0.35499997
6.956936,0.376991118
6.964104,0.398982267
6.972296,0.417831823
6.980488,0.439822972
6.98868,0.46181412
6.996872,0.480663676
7.00404,0.499513232
7.012232,0.52150438
7.020424,0.540353936
7.028616,0.559203492
7.036808,0.578053048
7.043976,0.593761012
7.052168,0.612610567
7.06036,0.631460123
7.068552,0.647168087
7.076744,0.66287605
7.083912,0.678584013
7.092104,0.694291976
7.100296,0.70999994
7.108488,0.725707903
7.11668,0.738274274
7.123848,0.750840644
7.13204,0.766548607
7.140232,0.779114978
7.148424,0.788539756
7.156616,0.801106127
7.164808,0.810530905
7.171976,0.823097275
7.180168,0.832522053
7.18836,0.841946831
7.196552,0.851371609
7.20372,0.857654794
7.211912,0.867079572
7.220104,0.873362758
7.228296,0.879645943
7.236488,0.885929128
7.243656,0.892212314
7.251848,0.895353906
7.26004,0.898495499
7.268232,0.904778684
7.276424,0.907920277
7.287688,0.91106187
7.33684,0.907920277
7.34708,0.904778684
7.355272,0.901637092
7.36244,0.898495499
7.368584,0.895353906
7.374728,0.892212314
7.379848,0.889070721
7.38804,0.885929128
7.396232,0.879645943
7.404424,0.873362758
7.412616,0.86393798
7.420808,0.857654794
7.427976,0.848230016
7.436168,0.841946831
7.44436,0.832522053
7.452552,0.823097275
7.460744,0.810530905
7.467912,0.801106127
7.476104,0.788539756
7.484296,0.775973385
7.492488,0.763407015
7.50068,0.750840644
7.508872,0.738274274
7.51604,0.725707903
7.524232,0.70999994
7.532424,0.694291976
7.540616,0.681725606
7.548808,0.666017643
7.555976,0.647168087
7.564168,0.631460123
7.57236,0.61575216
7.580552,0.596902604
7.588744,0.581194641
7.596936,0.562345085
7.604104,0.543495529
7.612296,0.524645973
7.620488,0.505796417
7.62868,0.486946861
7.635848,0.464955713
7.64404,0.446106157
7.652232,0.424115008
7.660424,0.405265452
7.668616,0.383274304
7.676808,0.361283155
7.683976,0.342433599
7.692168,0.320442451
7.70036,0.298451302
7.708552,0.276460154
7.716744,0.254469005
7.723912,0.229336264
7.732104,0.207345115
7.740296,0.185353967
7.748488,0.163362818
7.75668,0.141371669
7.763848,0.116238928
7.77204,0.0942477796
7.780232,0.072256631
7.788424,0.0471238898
7.796616,0.0251327412
7.803784,0.00314159265
7.811976,-0.0219911486
7.820168,-0.0439822972
7.82836,-0.0691150384
7.836552,-0.091106187
7.844744,-0.113097336
7.851912,-0.135088484
7.860104,-0.160221225
7.868296,-0.182212374
7.876488,-0.204203522
7.88468,-0.226194671
7.891848,-0.24818582
7.90004,-0.270176968
7.908232,-0.292168117
7.916424,-0.314159265
7.923592,-0.336150414
7.931784,-0.358141563
7.939976,-0.376991118
7.948168,-0.398982267
7.95636,-0.417831823
7.964552,-0.439822972
7.97172,-0.458672527
7.979912,-0.477522083
7.988104,-0.496371639
7.996296,-0.515221195
8.004488,-0.534070751
8.011656,-0.552920307
8.019848,-0.56862827
8.02804,-0.587477826
8.036232,-0.603185789
8.044424,-0.618893753
8.052616,-0.634601716
8.059784,-0.650309679
8.067976,-0.666017643
8.076168,-0.681725606
8.08436,-0.694291976
8.092552,-0.706858347
