Wavelength (nm) - Measure	Measured Reflectance (%)  - Measure	Wavelength (nm) - Fit	Theorical Reflectance (0..1) - Fit	Wavelength (nm) - Tracé 2	Theorical Reflectance (0..1) - Tracé 2
597.26	99.935	858.75	0.53482	0.99935	
597.6	100.391	859.75	0.537139	1.00391	
597.94	98.716	860.75	0.539729	0.98716	
598.28	96.853	861.75	0.54233	0.96853	
598.62	97.921	862.75	0.544715	0.97921	
598.96	98.017	863.75	0.547381	0.98017	
599.3	96.071	864.75	0.550044	0.96071	
599.64	94.505	865.75	0.552522	0.94505	
599.98	95.966	866.75	0.555203	0.95966	
600.32	93.016	867.75	0.55791	0.93016	
600.65	93.22	868.75	0.56063	0.9322	
600.99	93.434	869.75	0.563126	0.93434	
601.33	91.792	870.75	0.565876	0.91792	
601.67	93.281	871.75	0.568617	0.93281	
602.01	89.874	872.75	0.571361	0.89874	
602.35	90.526	873.75	0.574109	0.90526	
602.69	89.332	874.75	0.576637	0.89332	
603.02	88.239	875.75	0.579384	0.88239	
603.36	88.309	876.75	0.582127	0.88309	
603.7	87.338	877.75	0.584866	0.87338	
604.04	86.715	878.75	0.587599	0.86715	
604.37	85.78	879.75	0.590324	0.8578	
604.71	85.302	880.75	0.593041	0.85302	
605.05	85.677	881.75	0.595747	0.85677	
605.38	83.004	882.75	0.598443	0.83004	
605.72	81.197	883.75	0.600908	0.81197	
606.06	82.759	884.75	0.603569	0.82759	
606.39	81.558	885.75	0.60622	0.81558	
606.73	80.651	886.75	0.609088	0.80651	
607.07	79.276	887.75	0.611689	0.79276	
607.4	78.034	888.75	0.614285	0.78034	
607.74	77.675			0.77675	
608.08	78.661			0.78661	
608.41	75.509			0.75509	
608.75	75.477			0.75477	
609.08	75.381			0.75381	
609.42	75.375			0.75375	
609.75	73.429			0.73429	
610.09	71.503			0.71503	
610.42	72.691			0.72691	
610.76	72.758			0.72758	
611.09	71.597			0.71597	
611.43	68.885			0.68885	
611.76	68.966			0.68966	
612.09	67.864			0.67864	
612.43	67.845			0.67845	
612.76	67.678			0.67678	
613.1	66.688			0.66688	
613.43	64.865			0.64865	
613.76	65.425			0.65425	
614.1	65.206			0.65206	
614.43	63.577			0.63577	
614.76	61.336			0.61336	
615.09	63.292			0.63292	
615.43	61.871			0.61871	
615.76	61.154			0.61154	
616.09	59.627			0.59627	
616.42	58.19			0.5819	
616.76	58.247			0.58247	
617.09	57.179			0.57179	
617.42	56.686			0.56686	
617.75	55.719			0.55719	
618.08	57.107			0.57107	
618.41	55.86			0.5586	
618.75	52.727			0.52727	
619.08	53.06			0.5306	
619.41	53.167			0.53167	
619.74	50.817			0.50817	
620.07	51.142			0.51142	
620.4	50.25			0.5025	
620.73	50.631			0.50631	
621.06	49.077			0.49077	
621.39	47.717			0.47717	
621.72	47.589			0.47589	
622.05	47.848			0.47848	
622.38	45.912			0.45912	
622.71	45.849			0.45849	
623.04	45.163			0.45163	
623.37	44.987			0.44987	
623.7	44.651			0.44651	
624.02	43.076			0.43076	
624.35	42.192			0.42192	
624.68	42.944			0.42944	
625.01	42.452			0.42452	
625.34	40.752			0.40752	
625.67	39.387			0.39387	
625.99	40.901			0.40901	
626.32	38.865			0.38865	
626.65	37.859			0.37859	
626.98	39.673			0.39673	
627.3	38.194			0.38194	
627.63	37.393			0.37393	
627.96	37.693			0.37693	
628.28	37.294			0.37294	
628.61	36.036			0.36036	
628.94	34.922			0.34922	
629.26	36.215			0.36215	
629.59	35.441			0.35441	
629.91	33.943			0.33943	
630.24	33.7			0.337	
630.57	34.096			0.34096	
630.89	33.17			0.3317	
631.22	32.344			0.32344	
631.54	32.418			0.32418	
631.87	32.925			0.32925	
632.19	32.463			0.32463	
632.52	31.127			0.31127	
632.84	30.572			0.30572	
633.16	31.331			0.31331	
633.49	30.043			0.30043	
633.81	30.851			0.30851	
634.14	30.822			0.30822	
634.46	30.057			0.30057	
634.78	29.096			0.29096	
635.11	29.057			0.29057	
635.43	30			0.3	
635.75	29.373			0.29373	
636.08	29.61			0.2961	
636.4	29.079			0.29079	
636.72	28.657			0.28657	
637.04	29.178			0.29178	
637.37	27.981			0.27981	
637.69	29.552			0.29552	
638.01	29.485			0.29485	
638.33	28.784			0.28784	
638.65	28.438			0.28438	
638.97	27.936			0.27936	
639.29	27.146			0.27146	
639.62	28.647			0.28647	
639.94	28.443			0.28443	
640.26	28.385			0.28385	
640.58	28.493			0.28493	
640.9	27.984			0.27984	
641.22	28.199			0.28199	
641.54	28.01			0.2801	
641.86	29.598			0.29598	
642.18	28.885			0.28885	
642.5	28.772			0.28772	
642.82	29.185			0.29185	
643.14	29.14			0.2914	
643.45	29.171			0.29171	
643.77	28.937			0.28937	
644.09	29.264			0.29264	
644.41	29.121			0.29121	
644.73	29.085			0.29085	
645.05	29.895			0.29895	
645.36	30.501			0.30501	
645.68	31.138			0.31138	
646	30.31			0.3031	
646.32	30.286			0.30286	
646.63	30.913			0.30913	
646.95	30.583			0.30583	
647.27	31.512			0.31512	
647.58	30.907			0.30907	
647.9	31.848			0.31848	
648.22	31.88			0.3188	
648.53	32.817			0.32817	
648.85	33.001			0.33001	
649.17	32.985			0.32985	
649.48	32.689			0.32689	
649.8	34.735			0.34735	
650.11	33.856			0.33856	
650.43	35.275			0.35275	
650.74	35.434			0.35434	
651.06	35.149			0.35149	
651.37	35.883			0.35883	
651.68	35.382			0.35382	
652	38.386			0.38386	
652.31	36.204			0.36204	
652.63	37.5			0.375	
652.94	39.308			0.39308	
653.25	34.534			0.34534	
653.57	37.691			0.37691	
653.88	37.615			0.37615	
654.19	39.817			0.39817	
654.51	40.603			0.40603	
654.82	41.363			0.41363	
655.13	40.695			0.40695	
655.44	39.34			0.3934	
655.75	41.711			0.41711	
656.07	41.979			0.41979	
656.38	41.16			0.4116	
656.69	44.669			0.44669	
657	44.638			0.44638	
657.31	42.508			0.42508	
